employee_id,attendance_id,attendance_date,clock_in,clock_out,task_id,task_name,tasks_completed,task_status,employee_name,department,designation,joining_date,work_hours,effective_work_hours,productivity_score
106,6,2026-06-01,2026-06-01 09:10:00,2026-06-01 18:05:00,16,bug fixing,9,completed,meena,it,tester,2023-05-18,8.916666666666666,7.916666666666666,1.1368421052631579
110,10,2026-06-01,2026-06-01 09:50:00,2026-06-01 17:15:00,10,marketing presentation,4,pending,nisha,marketing,executive,2023-03-15,7.416666666666667,6.416666666666667,0.6233766233766234
110,20,2026-06-02,2026-06-02 10:00:00,2026-06-02 17:30:00,10,marketing presentation,4,pending,nisha,marketing,executive,2023-03-15,7.5,6.5,0.6153846153846154
102,12,2026-06-02,2026-06-02 09:25:00,2026-06-02 17:30:00,2,recruitment drive,5,completed,priya,hr,executive,2022-06-15,8.083333333333334,7.083333333333334,0.7058823529411764
104,14,2026-06-02,2026-06-02 10:30:00,2026-06-02 16:45:00,14,content creation,2,completed,sana,marketing,associate,2024-02-01,6.25,5.25,0.38095238095238093
104,4,2026-06-01,2026-06-01 10:15:00,2026-06-01 17:00:00,14,content creation,2,completed,sana,marketing,associate,2024-02-01,6.75,5.75,0.34782608695652173
109,9,2026-06-01,2026-06-01 08:45:00,2026-06-01 18:10:00,19,client meeting,10,completed,ajay,sales,manager,2021-11-11,9.416666666666666,8.416666666666666,1.1881188118811883
106,16,2026-06-02,2026-06-02 09:15:00,2026-06-02 18:00:00,6,software testing,8,completed,meena,it,tester,2023-05-18,8.75,7.75,1.032258064516129
103,3,2026-06-01,2026-06-01 09:05:00,2026-06-01 18:15:00,3,budget analysis,10,completed,karthik,finance,analyst,2021-08-20,9.166666666666666,8.166666666666666,1.2244897959183674
102,2,2026-06-01,2026-06-01 09:20:00,2026-06-01 17:45:00,2,recruitment drive,5,completed,priya,hr,executive,2022-06-15,8.416666666666666,7.416666666666666,0.6741573033707866
108,8,2026-06-01,2026-06-01 09:30:00,2026-06-01 17:40:00,8,candidate screening,5,completed,divya,hr,recruiter,2024-01-05,8.166666666666666,7.166666666666666,0.6976744186046512
101,1,2026-06-01,2026-06-01 09:00:00,2026-06-01 18:00:00,1,dashboard development,8,completed,arun,it,developer,2023-01-10,9.0,8.0,1.0
107,17,2026-06-02,2026-06-02 09:05:00,2026-06-02 18:15:00,17,expense verification,8,completed,vikram,finance,accountant,2022-09-22,9.166666666666666,8.166666666666666,0.979591836734694
105,15,2026-06-02,2026-06-02 08:55:00,2026-06-02 17:40:00,5,sales reporting,7,completed,rahul,sales,executive,2023-07-12,8.75,7.75,0.9032258064516129
108,18,2026-06-02,2026-06-02 09:40:00,2026-06-02 17:20:00,8,candidate screening,5,completed,divya,hr,recruiter,2024-01-05,7.666666666666667,6.666666666666667,0.75
101,11,2026-06-02,2026-06-02 09:05:00,2026-06-02 18:00:00,1,dashboard development,8,completed,arun,it,developer,2023-01-10,8.916666666666666,7.916666666666666,1.0105263157894737
107,7,2026-06-01,2026-06-01 09:00:00,2026-06-01 18:20:00,17,expense verification,8,completed,vikram,finance,accountant,2022-09-22,9.333333333333334,8.333333333333334,0.96
103,13,2026-06-02,2026-06-02 09:00:00,2026-06-02 18:10:00,3,budget analysis,10,completed,karthik,finance,analyst,2021-08-20,9.166666666666666,8.166666666666666,1.2244897959183674
109,19,2026-06-02,2026-06-02 08:50:00,2026-06-02 18:05:00,19,client meeting,10,completed,ajay,sales,manager,2021-11-11,9.25,8.25,1.2121212121212122
105,5,2026-06-01,2026-06-01 08:50:00,2026-06-01 17:30:00,5,sales reporting,7,completed,rahul,sales,executive,2023-07-12,8.666666666666666,7.666666666666666,0.9130434782608696
106,6,2026-06-01,2026-06-01 09:10:00,2026-06-01 18:05:00,6,software testing,8,completed,meena,it,tester,2023-05-18,8.916666666666666,7.916666666666666,1.0105263157894737
